/MREQ,/IORQ,/RD,/WR,A19,A18,A17,A15,A16,,/RTC_RD,/RAM_CE,/RTC_WR,/U22_CE,/RAM_WE,/RAM_OE,/ROM_CE,I2
0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,1
0,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0,,1,1,0,1,0,1,0,1
1,0,1,0,0,0,0,0,0,,1,1,0,1,1,1,0,1
0,1,1,0,0,0,0,0,0,,1,1,1,1,0,1,0,1
1,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1
0,0,0,1,0,0,0,0,0,,0,1,1,1,1,0,0,1
1,0,0,1,0,0,0,0,0,,0,1,1,1,1,1,0,1
0,1,0,1,0,0,0,0,0,,1,1,1,1,1,0,0,1
1,1,0,1,0,0,0,0,0,,1,1,1,1,1,1,0,1
0,0,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,1
1,0,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,1
0,1,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,1
1,1,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,1
0,0,0,0,1,0,0,0,0,,0,1,0,1,0,0,1,1
1,0,0,0,1,0,0,0,0,,0,1,0,1,1,1,1,1
0,1,0,0,1,0,0,0,0,,1,1,1,1,0,0,1,1
1,1,0,0,1,0,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0,,1,1,0,1,0,1,1,1
1,0,1,0,1,0,0,0,0,,1,1,0,1,1,1,1,1
0,1,1,0,1,0,0,0,0,,1,1,1,1,0,1,1,1
1,1,1,0,1,0,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0,,0,1,1,1,1,0,1,1
1,0,0,1,1,0,0,0,0,,0,1,1,1,1,1,1,1
0,1,0,1,1,0,0,0,0,,1,1,1,1,1,0,1,1
1,1,0,1,1,0,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,1
0,1,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,0,,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,,0,1,0,1,1,1,1,1
0,1,0,0,0,1,0,0,0,,1,1,1,1,0,0,1,1
1,1,0,0,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,0,0,,1,1,0,1,0,1,1,1
1,0,1,0,0,1,0,0,0,,1,1,0,1,1,1,1,1
0,1,1,0,0,1,0,0,0,,1,1,1,1,0,1,1,1
1,1,1,0,0,1,0,0,0,,1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,0,0,,0,1,1,1,1,0,1,1
